target,listed_count,location,description,protected,url,verified,name_containment,account_age_days,followers_per_day,tweets_per_day,following_per_day,followers_to_friends
1,0,1,1,0,1,0,0.5,1344,0.0141,0.0216,0.1897,0.07450980392156863
1,0,0,0,0,0,0,0.3333333333333333,1337,0.1556,1.0531,0.6477,0.24018475750577367
1,0,1,1,0,1,0,1.0,1242,0.0475,0.0314,0.7746,0.061330561330561334
1,0,1,0,0,0,0,0.0,1213,0.0058,0.0486,0.0404,0.14285714285714285
1,1,1,1,0,1,0,1.0,1184,0.0507,0.8336,0.44,0.11516314779270634
1,0,1,1,0,0,0,0.0,1123,0.1256,0.2547,0.9573,0.13116279069767442
1,1,1,0,0,0,0,0.0,947,0.0169,0.0475,0.3611,0.04678362573099415
1,0,0,0,0,0,0,0.0,798,0.0175,0.0902,0.3596,0.04878048780487805
1,0,0,0,0,0,0,0.0,647,0.0,0.0015,0.1886,0.0
1,0,0,0,0,0,0,1.0,643,0.0062,0.0373,0.9145,0.006802721088435374
1,0,0,0,0,0,0,0.0,372,0.0108,0.0,0.6129,0.017543859649122806
1,1,0,0,0,0,0,0.0,2014,0.0849,0.2766,0.6941,0.1223175965665236
1,0,0,0,0,0,0,1.0,1742,0.0052,0.2199,0.3238,0.015957446808510637
1,0,0,0,0,0,0,1.0,1701,0.0535,0.0176,0.3098,0.17267552182163187
1,0,0,0,0,0,0,1.0,1658,0.0103,0.0121,0.2177,0.04709141274238227
1,9,1,1,0,1,0,0.0,1659,0.3514,0.1851,0.5039,0.6973684210526315
1,0,1,1,0,0,0,0.0,1603,0.0081,0.0599,0.2907,0.027896995708154508
1,0,0,0,0,1,0,0.0,1590,0.0396,0.1352,0.5667,0.06992230854605994
1,0,0,0,0,0,0,0.0,1581,0.0038,0.0,0.3789,0.01001669449081803
1,0,0,0,0,0,0,1.0,1581,0.0114,0.2789,0.6382,0.017839444995044598
1,3,1,0,0,1,0,1.0,1575,0.0825,0.0495,0.3073,0.26859504132231404
1,0,0,0,0,0,0,0.0,1573,0.0057,0.0,0.3783,0.015126050420168067
1,5,1,1,0,0,0,0.0,1572,0.1724,0.1406,0.7627,0.22602168473728107
1,0,0,0,0,0,0,0.5,1570,0.0032,0.0006,0.3497,0.009107468123861567
1,0,0,0,0,0,0,0.0,1567,0.0121,0.0,0.6579,0.01842870999030068
1,9,1,1,0,1,0,1.0,1543,0.3545,0.4193,0.8334,0.42534992223950235
1,0,1,1,0,1,0,0.0,1539,0.3197,0.9831,1.3021,0.24550898203592814
1,0,0,0,0,0,0,0.0,1535,0.0182,0.0352,0.3759,0.04852686308492201
1,0,0,0,0,0,0,0.0,1533,0.002,0.0,0.3098,0.00631578947368421
1,0,0,0,0,0,0,0.0,1532,0.0065,0.0,0.3649,0.017889087656529516
1,0,1,0,0,0,0,1.0,1529,0.0294,0.0046,0.3715,0.07922535211267606
1,0,1,1,0,1,0,0.0,1525,0.0052,0.0407,0.2525,0.02077922077922078
1,1,0,0,0,0,0,0.0,1523,0.0499,0.3775,0.5561,0.089728453364817
1,0,1,0,0,0,0,0.0,1521,0.002,0.0,0.3662,0.005385996409335727
1,0,0,0,0,0,0,0.0,1518,0.0059,0.0033,0.3663,0.01618705035971223
1,0,0,0,0,0,0,0.0,1518,0.0382,0.0079,0.3182,0.12008281573498965
1,0,0,0,0,0,0,0.0,1514,0.0112,0.0046,0.3032,0.037037037037037035
1,1,0,0,0,0,0,0.0,1513,0.0106,0.0013,0.2274,0.046511627906976744
1,0,0,0,0,0,0,0.0,1511,0.0093,0.0007,0.3852,0.024054982817869417
1,0,0,0,0,0,0,0.0,1511,0.0073,0.0007,0.3898,0.01867572156196944
1,0,1,1,0,0,0,0.0,1511,0.0437,0.0192,0.5281,0.08270676691729323
1,0,0,0,0,0,0,0.5,1510,0.0033,0.2311,0.3563,0.00929368029739777
1,0,1,1,0,1,0,1.0,1506,0.0744,0.077,0.4104,0.18122977346278318
1,0,1,1,0,0,0,0.0,1505,0.0445,0.9767,0.4724,0.09423347398030943
1,0,1,1,0,1,0,0.5,1502,0.008,0.0386,0.4534,0.01762114537444934
1,0,1,1,0,0,0,0.5,1500,0.038,0.4373,0.462,0.08225108225108226
1,0,0,0,0,0,0,0.0,1499,0.0073,0.0007,0.4029,0.018211920529801324
1,0,0,0,0,0,0,0.5,1497,0.0053,0.1136,0.2164,0.024691358024691357
1,0,0,0,0,0,0,0.0,1493,0.008,0.3289,0.3677,0.02185792349726776
1,0,1,1,0,1,0,1.0,1493,0.073,0.0603,0.2847,0.2564705882352941
1,0,0,0,0,0,0,1.0,1492,0.006,0.0,0.3995,0.015100671140939598
1,1,1,1,0,1,0,0.0,1490,0.006,0.0074,0.1262,0.047872340425531915
1,0,1,0,0,0,0,0.0,1477,0.0372,0.0115,0.8456,0.044035228182546036
1,0,1,1,0,0,0,0.0,1471,0.0122,0.0204,0.3637,0.03364485981308411
1,0,1,1,0,0,0,1.0,1467,0.1118,0.411,0.786,0.1422376409366869
1,0,0,0,0,0,0,0.0,1464,0.0041,0.0,0.3648,0.011235955056179775
1,1,1,0,0,0,0,0.5,1463,0.0253,0.0109,0.2775,0.09113300492610837
1,0,0,0,0,0,0,0.0,1460,0.0021,0.0027,0.4062,0.00505902192242833
1,0,0,0,0,0,0,0.0,1461,0.0041,0.0,0.2519,0.016304347826086956
1,0,0,0,0,0,0,0.0,1457,0.0055,0.0007,0.6877,0.007984031936127744
1,0,0,0,0,0,0,0.0,1457,0.0048,0.0062,0.2986,0.016091954022988506
1,0,0,0,0,0,0,0.5,1456,0.0117,0.0,0.682,0.017119838872104734
1,0,0,0,0,0,0,0.0,1455,0.0069,0.0007,0.3691,0.0186219739292365
1,0,1,1,0,0,0,0.5,1455,0.0206,0.0948,0.389,0.053003533568904596
1,3,1,1,0,1,0,0.5,1454,0.0413,0.0812,0.2531,0.16304347826086957
1,0,0,0,0,0,0,0.0,1450,0.0076,0.0338,0.3876,0.019572953736654804
1,0,0,0,0,0,0,0.0,1448,0.0041,0.0007,0.404,0.010256410256410256
1,0,1,0,0,0,0,0.0,1449,0.0186,0.1084,0.3278,0.056842105263157895
1,0,0,0,0,0,0,0.0,1448,0.0041,0.0,0.3888,0.010657193605683837
1,0,0,0,0,0,0,0.0,1448,0.0076,0.0401,0.3902,0.019469026548672566
1,0,0,0,0,0,0,0.0,1447,0.0069,0.0062,0.2999,0.02304147465437788
1,1,0,0,0,0,0,0.5,1443,0.0028,0.0028,0.3915,0.007079646017699115
1,1,1,0,0,0,0,0.0,1439,0.0014,0.0,0.2321,0.005988023952095809
1,0,0,0,0,0,0,0.0,1437,0.0021,0.0007,0.3612,0.005780346820809248
1,2,1,0,0,0,0,1.0,1437,0.1176,0.0981,0.5115,0.22993197278911565
1,0,0,0,0,0,0,1.0,1434,0.0049,0.0007,0.6569,0.0074309978768577496
1,0,0,0,0,0,0,0.0,1434,0.0098,0.0202,0.7211,0.013539651837524178
